Port,Commodity,Total Exports Value ($US),Vessel Total Exports Value ($US),Vessel Total Exports SWT (kg),Air Total Exports Value ($US),Air Total Exports SWT (kg),Containerized Vessel Total Exports Value ($US),Containerized Vessel Total Exports SWT (kg)
"San Juan, PR (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",40400,40400,20028,,,21500,10494
"San Juan, PR (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",84188,84188,30073,,,63489,21336
"San Juan, PR (Port)",1001 Wheat And Meslin,8955,8955,14000,,,5330,2000
"San Juan, PR (Port)",1004 Oats,4446,4446,2303,,,4446,2303
"San Juan, PR (Port)",1005 Corn (maize),19579,19579,71972,,,16085,70608
"San Juan, PR (Port)",1006 Rice,837686,837686,1065058,,,771982,1026005
"San Juan, PR (Port)","1008 Buckwheat, Millet And Canary Seeds; Other Cereals",136245,136245,60272,,,133655,59372
"San Juan, PR (Port)",1101 Wheat Or Meslin Flour,2446480,2446480,3250378,,,2212750,3037479
"San Juan, PR (Port)","1102 Cereal Flours, Except Of Wheat Or Of Meslin",452411,452411,627434,,,409967,569668
"San Juan, PR (Port)","1103 Cereal Groats, Meal And Pellets",73193,73193,121585,,,7051,2315
"San Juan, PR (Port)","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes",6448,6448,5231,,,2550,3867
"San Juan, PR (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",14275,14275,15241,,,14275,15241
"San Juan, PR (Port)","1107 Malt, Whether Or Not Roasted",8687,8687,5291,,,,
"San Juan, PR (Port)",1108 Starches; Inulin,18089,18089,6804,,,18089,6804
"San Juan, PR (Port)","1109 Wheat Gluten, Whether Or Not Dried",32067,32067,13610,,,,
"San Juan, PR (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",33643,33643,19206,,,30018,17508
"San Juan, PR (Port)","1209 Seeds, Fruit And Spores, For Sowing",15963,15963,8243,,,,
"San Juan, PR (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",33242,33242,5142,,,28940,4429
"San Juan, PR (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,1404295,1404295,153474,,,257278,38726
"San Juan, PR (Port)","1401 Vegetable Plaiting Materials (bamboos, Reeds Etc.)",18525,18525,23246,,,18525,23246
"San Juan, PR (Port)",1404 Vegetable Products Nesoi,3096,3096,368,,,3096,368
"San Juan, PR (Port)","1501 Pig Fat And Poultry Fat Other Than Head 0209, 1503",2065205,2065205,2766079,,,2028205,2693468
"San Juan, PR (Port)",1506 Animal Fat & Oil & Fraction Nesoi Nt Chem Modified,55870,55870,118500,,,,
"San Juan, PR (Port)","1508 Peanut Oil & Its Fractions, Not Chemicaly Modified",6026,6026,1167,,,6026,1167
"San Juan, PR (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",72660,72660,18102,,,66796,17740
"San Juan, PR (Port)","1513 Coconut, Palm Kernel Or Babassu Oil Etc, No Ch Mod",344922,344922,483833,,,60000,84164
"San Juan, PR (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",42612,42612,39653,,,42612,39653
"San Juan, PR (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,46235,46235,44038,,,8884,3726
"San Juan, PR (Port)",1518 Anml/veg Fats & Oils Chem Modified; Inedbl Mxt Etc,538916,538916,899717,,,538916,899717
"San Juan, PR (Port)","1601 Sausages, Similar Prdt Meat Etc Food Prep Of These",270681,270681,77376,,,206905,59774
"San Juan, PR (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",60820,60820,14241,,,60820,14241
"San Juan, PR (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",6227,6227,1740,,,6227,1740
"San Juan, PR (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,530038,530038,111092,,,519622,109558
"San Juan, PR (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",6637,6637,810,,,,
"San Juan, PR (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",13320,13320,19503,,,,
"San Juan, PR (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",265723,265723,618574,,,48880,19563
"San Juan, PR (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",447204,447204,104358,,,136812,26045
"San Juan, PR (Port)",1806 Chocolate & Other Food Products Containing Cocoa,1191182,1191182,292175,,,41910,14521
"San Juan, PR (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,4024004,4024004,794159,,,54265,26365
"San Juan, PR (Port)","1902 Pasta, Prepared Or Not; Couscous, Prepared Or Not",23378,23378,6521,,,23378,6521
"San Juan, PR (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",43723,43723,19182,,,35534,18012
"San Juan, PR (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",3063953,3063953,1251471,,,555553,252294
"San Juan, PR (Port)",2002 Tomatoes Prepared Or Preserved Nesoi,11290,11290,10669,,,11290,10669
"San Juan, PR (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",38938,38938,28525,,,29779,19838
"San Juan, PR (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",473154,473154,327782,,,447358,307356
"San Juan, PR (Port)","2006 Veg/fruit/nuts/fruit-peel Etc, Preserved By Sugar",3600,3600,907,,,3600,907
"San Juan, PR (Port)","2007 Jams, Fruit Jellies, Marmalades Etc, Cooked",23202,23202,21150,,,4290,726
"San Juan, PR (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",51857,51857,26336,,,51857,26336
"San Juan, PR (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,10508289,10508289,13158327,,,373843,290216
"San Juan, PR (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",74710,74710,9112,,,22557,4740
"San Juan, PR (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,42854,42854,19567,,,28950,15836
"San Juan, PR (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",1216090,1216090,525114,,,1066095,469968
"San Juan, PR (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",2887,2887,1006,,,2887,1006
"San Juan, PR (Port)","2105 Ice Cream And Other Edible Ice, With Cocoa Or Not",2767406,2767406,830278,,,86434,17764
"San Juan, PR (Port)",2106 Food Preparations Nesoi,28220214,28220214,6271178,,,2872318,926726
"San Juan, PR (Port)","2201 Waters, Natural Etc, Not Sweetened Etc; Ice & Snow",248243,248243,1069833,,,145476,631524
"San Juan, PR (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",9925719,9925719,8079089,,,4531112,5846060
"San Juan, PR (Port)",2203 Beer Made From Malt,94836,94836,71797,,,46886,44978
"San Juan, PR (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,224168,224168,38061,,,186598,33756
"San Juan, PR (Port)",2205 Vermouth & Oth Wine Of Fresh Grapes Spec Flavored,3042,3042,2395,,,3042,2395
"San Juan, PR (Port)","2206 Fermented Beverages Nesoi (cider, Perry, Mead Etc)",66804,66804,57534,,,,
"San Juan, PR (Port)","2207 Ethyl Alcohol, Undenat, Nun80% Alc; Alcohol, Denat",2094462,2094462,435041,,,2045655,426399
"San Juan, PR (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",28241396,28241396,17598095,,,20000,8142
"San Juan, PR (Port)",2209 Vinegar & Substitutes For Vinegar From Acetic Acid,2522,2522,2644,,,2522,2644
"San Juan, PR (Port)",2303 Residues Of Starch Mfr Or Sugar Mfr Or Brewing Etc,7260,7260,24095,,,,
"San Juan, PR (Port)","2306 Oilcake Etc Nesoi, From Veg Fats & Oils Nesoi",40117,40117,86320,,,40117,86320
"San Juan, PR (Port)",2307 Wine Lees; Argol,2870,2870,212,,,,
"San Juan, PR (Port)","2308 Veg Material, Waste Etc For Feeding Animals Nesoi",12012,12012,25548,,,,
"San Juan, PR (Port)",2309 Preparations Used In Animal Feeding,5512289,5512289,2898843,,,4947704,2459569
"San Juan, PR (Port)","2401 Tobacco, Unmanufactured; Tobacco Refuse",2259581,2259581,483443,,,,
"San Juan, PR (Port)","2402 Cigars, Cigarettes Etc., Of Tobacco Or Substitutes",69670,69670,2886,,,,
"San Juan, PR (Port)",4101 Raw Hides & Skins Of Bovine Or Equine Animals,937210,937210,517669,,,783610,429579
"San Juan, PR (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",10173,10173,502,,,,
"San Juan, PR (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",2640,2640,392,,,2640,392
"San Juan, PR (Port)","5201 Cotton, Not Carded Or Combed",195725,195725,31341,,,195725,31341
"San Juan, PR (Port)","5210 Woven Cotton Fabrics, Un85%cot, mmfmix, Nov200g/m2",25942,25942,1158,,,,
"San Juan, PR (Port)","5211 Woven Cotton Fabrics, Un85%cot, mmfmix, Ov200g/m2",2627,2627,375,,,,
"San Juan, PR (Port)","5305 Coconut, Abaca, Ramie Etc Nesoi, Raw Etc; Tow Etc",14382,14382,5905,,,14382,5905
"San Juan, PR (Port)",5310 Woven Fabrics Of Jute Or Oth Text Bast Fiber Nesoi,3625,3625,737,,,,
"Atlanta, GA (Port)","0101 Horses, Asses, Mules And Hinnies, Live",16156444,,,16156444,69645,,
"Atlanta, GA (Port)","0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live",36363812,,,36363812,249367,,
"Atlanta, GA (Port)","0106 Animals, Live, Nesoi",581940,,,581940,12756,,
"Atlanta, GA (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",9240415,,,9240415,311629,,
"Atlanta, GA (Port)","0202 Meat Of Bovine Animals, Frozen",222758,,,222758,13115,,
"Atlanta, GA (Port)","0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",21826,,,21826,6977,,
"Atlanta, GA (Port)","0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen",44670,,,44670,12920,,
"Atlanta, GA (Port)","0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.",94286,,,94286,4935,,
"Atlanta, GA (Port)","0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",138318,,,138318,73949,,
"Atlanta, GA (Port)","0208 Meat & Edible Offal Nesoi, Fresh, Chilld Or Frozen",182030,,,182030,59778,,
"Atlanta, GA (Port)","0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal",4292,,,4292,710,,
"Atlanta, GA (Port)","0301 Fish, Live",146798,,,146798,27248,,
"Atlanta, GA (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",5277,,,5277,526,,
"Atlanta, GA (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,286664,,,286664,24262,,
"Atlanta, GA (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,3786,,,3786,424,,
"Atlanta, GA (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,3398,,,3398,310,,
"Atlanta, GA (Port)","0403 Buttermilk, Yogurt, Kephir Etc, Flavord Etc Or Not",14725,,,14725,3623,,
"Atlanta, GA (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",72972,,,72972,38784,,
"Atlanta, GA (Port)",0406 Cheese And Curd,51424,,,51424,6720,,
"Atlanta, GA (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",18229257,,,18229257,1257030,,
"Atlanta, GA (Port)","0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",126763,,,126763,75160,,
"Atlanta, GA (Port)","0409 Honey, Natural",4848,,,4848,1087,,
"Atlanta, GA (Port)",0505 Bird Skins & Other Feathered Parts And Down,23251,,,23251,5103,,
"Atlanta, GA (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",347592,,,347592,164443,,
"Atlanta, GA (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",996413,,,996413,120540,,
"Atlanta, GA (Port)","0603 Cut Flowers & Buds For Bouquets Etc., Prepared",8378,,,8378,230,,
"Atlanta, GA (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",125391,,,125391,9536,,
"Atlanta, GA (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",139987,,,139987,40185,,
"Atlanta, GA (Port)","0713 Leguminous Vegetables, Dried Shelled",16475,,,16475,26392,,
"Atlanta, GA (Port)","0802 Nuts Nesoi, Fresh Or Dried",102175,,,102175,22019,,
"Atlanta, GA (Port)","0809 Apricots, Cherries, Peaches, Plums & Sloes, Fresh",96912,,,96912,17002,,
"Atlanta, GA (Port)","0810 Fruit Nesoi, Fresh",496339,,,496339,98315,,
"Atlanta, GA (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",14230,,,14230,10857,,
"Atlanta, GA (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,25410,,,25410,11553,,
"Atlanta, GA (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,52243,,,52243,8067,,
